2022-05-27 14:13:48,755  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,755  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,756  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,756  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,756  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,756  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,756  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,756  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,756  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,756  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,756  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,757  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,757  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,757  root       WARNING Missing value for [postquestionprocessors_storage] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [dirs] in config, return default value
2022-05-27 14:13:48,757  root       WARNING Missing value for [format] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [encoding] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [delete_on_start] in config, return default value False
2022-05-27 14:13:48,757  root       WARNING Missing value for [triggers_storage] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [oobs_storage] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [services_storage] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING Missing value for [renderer] in config, return default value None
2022-05-27 14:13:48,757  root       WARNING 'email' section missing from bot config, using defaults
2022-05-27 14:13:48,758  root       WARNING 'triggers' section missing from client config, using defaults
2022-05-27 14:13:48,758  root       WARNING 'responder' section missing from client config, using defaults
2022-05-27 14:13:48,758  root       WARNING Missing value for [tab_parse_output] in config, return default value True
2022-05-27 14:13:48,758  root       WARNING Missing value for [alphabet] in config, return default value None
2022-05-27 14:13:48,758  root       WARNING Missing value for [max_histories] in config, return default value 100
2022-05-27 14:13:48,758  root       WARNING Missing value for [initial_topic] in config, return default value *
2022-05-27 14:13:48,758  root       WARNING Missing value for [restore_last_topic] in config, return default value False
2022-05-27 14:13:48,758  root       WARNING Missing value for [empty_on_start] in config, return default value False
2022-05-27 14:13:48,758  root       WARNING Missing value for [multi_client] in config, return default value False
2022-05-27 14:13:48,758  root       WARNING 'splitter' section missing from bot config, using defaults
2022-05-27 14:13:48,758  root       WARNING 'joiner' section missing from bot config, using defaults
2022-05-27 14:13:48,758  root       WARNING 'translation' section missing from bot config, using defaults
2022-05-27 14:13:48,758  root       WARNING 'translation' section missing from bot config, using defaults
2022-05-27 14:13:48,758  root       WARNING 'sentiment' section missing from bot config, using defaults
2022-05-27 14:13:48,759  root       WARNING Missing value for [save_as_user] in config, return default value system
2022-05-27 14:13:48,759  root       WARNING Missing value for [denied_text] in config, return default value Access denied!
2022-05-27 14:13:48,759  root       WARNING Missing value for [denied_text] in config, return default value Access denied!
2022-05-27 14:13:48,759  root       WARNING 'security' section missing from bot config, using to defaults
2022-05-27 14:13:48,759  root       WARNING 'tokenizer' section missing from bot config, using defaults
2022-05-27 14:13:48,759  root       WARNING Missing value for [save_errors] in config, return default value False
2022-05-27 14:13:48,759  root       WARNING Missing value for [save_duplicates] in config, return default value False
2022-05-27 14:13:48,759  root       WARNING Missing value for [brain_selector] in config, return default value None
2022-05-27 14:13:48,759  root       WARNING Missing value for [bot_selector] in config, return default value programy.clients.botfactory.DefaultBotSelector
2022-05-27 14:13:48,759  root       DEBUG   Loading Storage Factory
2022-05-27 14:13:48,759  root       INFO    Loading license key file: [..\..\storage\licenses\license.keys]
2022-05-27 14:13:48,759  root       ERROR   Invalid license key file [..\..\storage\licenses\license.keys] [[Errno 2] No such file or directory: '..\\..\\storage\\licenses\\license.keys']
2022-05-27 14:13:48,760  root       DEBUG   Loading nodes from file [..\..\storage\nodes\pattern_nodes.conf]
2022-05-27 14:13:48,760  root       ERROR   File not found [..\..\storage\nodes\pattern_nodes.conf]
2022-05-27 14:13:48,760  root       DEBUG   Loading nodes from file [..\..\storage\nodes\template_nodes.conf]
2022-05-27 14:13:48,760  root       ERROR   File not found [..\..\storage\nodes\template_nodes.conf]
2022-05-27 14:13:48,760  root       DEBUG   Defaulting root to PatternRootNode
2022-05-27 14:13:48,760  root       ERROR   Failed to get root pattern node, reverting to default [Invalid node name [root]]
2022-05-27 14:13:48,760  root       DEBUG   Processor path [programy.parser.pattern.nodes.root.PatternRootNode]
2022-05-27 14:13:48,760  root       DEBUG   Importing module [programy.parser.pattern.nodes.root]
2022-05-27 14:13:48,761  root       DEBUG   Instantiating class [PatternRootNode]
